Year,United States,Russia,China,Brazil,Australia,Nigeria
1990,1.885964958,-2.999995642,3.920251368,-3.102355949,3.570998147,11.77688593
1991,-0.1082647868,-5.046939451,9.262786084,1.511937238,-0.3978176996,0.3583526045
1992,3.522440523,-14.53107377,14.22452959,-0.4669132117,0.4121847006,4.631192947
1993,2.751781042,-8.668540341,13.8837293,4.66516899,4.029906461,-2.035118776
1994,4.028793263,-12.56975598,13.03680663,5.334551702,3.983890153,-1.814924483
1995,2.684217275,-4.143528406,10.95395434,4.416731355,3.837755293,-0.07266476668
1996,3.772565502,-3.755069439,9.922556752,2.207535527,3.878585293,4.195924045
1997,4.381775174,1.399915805,9.236779892,3.394845985,3.966537662,2.93709942
1998,4.481407561,-5.299961625,7.845951788,0.338097903,4.576688759,2.581254103
1999,4.753235983,6.39991469,7.661651501,0.4679375674,5.073599095,0.5841268946
2000,4.127484017,10.00006682,8.490093406,4.387949443,3.933136945,5.015934757
2001,0.9983407918,5.100051225,8.335733478,1.389896403,1.930857592,5.917684652
2002,1.741695251,4.699991909,9.13363079,3.053461858,4.001404062,15.32915574
2003,2.861210768,7.299952345,10.03803048,1.140828998,2.985934322,7.34719497
2004,3.798891125,7.19994787,10.11362138,5.759964639,4.055451968,9.250558228
2005,3.513213799,6.399965448,11.39459181,3.20213138,3.204269793,6.438516525
2006,2.854972294,8.200068255,12.72095567,3.961988722,2.794537024,6.059428031
2007,1.876171454,8.499977768,14.23086093,6.069870608,3.844230316,6.591130361
2008,-0.1365798032,5.199969265,9.65067892,5.094195447,3.657953526,6.764472778
2009,-2.536757067,-7.799993913,9.398725632,-0.1258119994,1.93699392,8.036925102
2010,2.56376656,4.5,10.63587106,7.52822583,2.067417128,8.005655915
2011,1.550835505,4.300029186,9.550832179,3.974425406,2.462756312,5.307924204
2012,2.249545852,4.024086157,7.863736449,1.921150318,3.918162871,4.230061175
2013,1.842081071,1.755422149,7.766150098,3.004846305,2.584897702,6.671335393
2014,2.525973446,0.7362672214,7.425763656,0.5039557402,2.533114665,6.309718656
2015,3.07551465,-1.972719226,7.041328879,-3.545763393,2.192647426,2.652693295
2016,1.711426774,0.1936900717,6.848762205,-3.275916908,2.770652197,-1.61686895
2017,2.332679395,1.825790064,6.947200793,1.322869055,2.300610624,0.8058866195
2018,2.996464352,2.80724541,6.749773832,1.783666761,2.949285772,1.922757342
2019,2.161176515,2.032982739,5.949714233,1.411152985,2.160956295,2.208429277
2020,-3.486140408,-2.951273899,2.3,-4.059048273,-0.2848392978,-1.794253082
